カテゴリー名,新コード,商品名,ランク,交換ポイント
ブラッキー超感謝祭,BK-A001,ブラッキーVMAX PSA10（PROMO）,RankSS,150000
ブラッキー超感謝祭,BK-A002,ルチアのアピール PSA10,RankSS,85000
ブラッキー超感謝祭,BK-A003,ミュウex SAR,RankSS,75000
ブラッキー超感謝祭,BK-A004,霧の水晶 UR,RankSS,65000
ブラッキー超感謝祭,BK-A005,ムゲンゾーン パック,RankSS,55000
ブラッキー超感謝祭,BK-A006,サンダースVMAX PSA10,RankS,45000
ブラッキー超感謝祭,BK-A007,ピカチュウ PSA10（プロモ）,RankS,38000
ブラッキー超感謝祭,BK-A008,ピカチュウ(ポケモンセンター) PSA10,RankS,35000
ブラッキー超感謝祭,BK-A009,カツラの一発勝負 SR,RankS,32000
ブラッキー超感謝祭,BK-A010,リミックスバウト パック,RankS,28000
ブラッキー超感謝祭,BK-A011,イーブイ（ムンク） PSA10,RankS,25000
ブラッキー超感謝祭,BK-A012,紳士風のピカチュウ PSA10,RankS,22000
ブラッキー超感謝祭,BK-A013,リオル PSA10,RankS,18000
ブラッキー超感謝祭,BK-A014,ローラースケーター SR,RankS,15000
ブラッキー超感謝祭,BK-A015,スカイレジェンド パック,RankS,12000
ブラッキー超感謝祭,BK-A016,イーブイヒーローズ イーブイズセット 1BOX,RankA,25000
ブラッキー超感謝祭,BK-A017,ヒビキのホウオウex PSA10,RankA,18000
ブラッキー超感謝祭,BK-A018,ミミッキュVMAX PSA10,RankA,15000
ブラッキー超感謝祭,BK-A019,名探偵ピカチュウ（未開封）プロモ,RankA,12000
ブラッキー超感謝祭,BK-A020,ロケット団の栄光 パック,RankA,10000
ブラッキー超感謝祭,BK-A021,ニンフィアGX PSA10,RankA,8000
ブラッキー超感謝祭,BK-A022,バシャーモVMAX PSA10,RankA,7000
ブラッキー超感謝祭,BK-A023,アンズ PSA10,RankA,6000
ブラッキー超感謝祭,BK-A024,月明かりの丘 プロモ,RankA,5000
ブラッキー超感謝祭,BK-A025,仰天のボルテッカー パック,RankA,4500
ブラッキー超感謝祭,BK-A026,ニンフィアVMAX PSA10,RankA,4000
ブラッキー超感謝祭,BK-A027,サーナイトEX(RR) PSA10,RankA,3500
ブラッキー超感謝祭,BK-A028,Nのゾロアークex(UR) PSA10,RankA,3000
ブラッキー超感謝祭,BK-A029,ピッピ（マスターボールミラー）C,RankA,2500
ブラッキー超感謝祭,BK-A030,スペースジャグラー パック,RankA,2000
ブラッキー超感謝祭,BK-A031,ブラッキーGX SSR PSA10,RankB,8000
ブラッキー超感謝祭,BK-A032,いちげきウーラオスVMAX PSA10,RankB,6000
ブラッキー超感謝祭,BK-A033,ガラルフリーザーV SR,RankB,5000
ブラッキー超感謝祭,BK-A034,ゲンガーex SR,RankB,4500
ブラッキー超感謝祭,BK-A035,一撃マスター パック,RankB,4000
ブラッキー超感謝祭,BK-A036,ピカチュウVMAX(RRR仕様) PSA10,RankB,3500
ブラッキー超感謝祭,BK-A037,シルヴァディGX(SA) PSA10,RankB,3000
ブラッキー超感謝祭,BK-A038,ボタン SAR,RankB,2500
ブラッキー超感謝祭,BK-A039,ジージーエンド パック,RankB,2000
ブラッキー超感謝祭,BK-A040,ディアルガGX PSA10,RankB,1800
ブラッキー超感謝祭,BK-A041,フシギソウ(Classicキラ) PSA10,RankB,1500
ブラッキー超感謝祭,BK-A042,ヘルガー UR,RankB,1200
ブラッキー超感謝祭,BK-A043,ステラミラクル パック,RankB,1000
ブラッキー超感謝祭,BK-A044,ミュウV(SA) PSA10,RankC,2000
ブラッキー超感謝祭,BK-A045,クロバットV PSA10,RankC,1500
ブラッキー超感謝祭,BK-A046,ヒノヤコマ PSA10,RankC,1200
ブラッキー超感謝祭,BK-A047,ディンルーex PSA10,RankC,1000
ブラッキー超感謝祭,BK-A048,ネンドール(25th) PSA10,RankC,800
ブラッキー超感謝祭,BK-A049,キャタピー PSA10,RankC,600
ブラッキー超感謝祭,BK-A050,いちげきウーラオスV SR,RankC,500
ブラッキー超感謝祭,BK-A051,ポッポ C,RankC,300
ブラッキー超感謝祭,BK-A052,コラッタ C,RankC,250
ブラッキー超感謝祭,BK-A053,オニスズメ C,RankC,200
ブラッキー超感謝祭,BK-A054,アーボ C,RankC,180
ブラッキー超感謝祭,BK-A055,ニドラン♀ C,RankC,150
