カテゴリー名,新コード,商品名,ランク,交換ポイント
ポケモン,A-O=N-000001,ナンジャモ SAR PSA10,RankSS,128000
ポケモン,A-O=N-000002,ナンジャモSR PSA10,RankA,27800
ポケモン,A-O=N-000003,サナ　SR PSA10,RankA,24800
ポケモン,A-O=N-000004,クララSR PSA10,RankA,32800
ポケモン,A-O=N-000005,カトレアSR PSA10,RankA,12800
ポケモン,A-O=N-000006,エリカの招待SR PSA10,RankA,12800
ポケモン,A-O=N-000007,ポンチョを着たピカチュウ(黒リザ) PSA10,RankSS,1380000
ポケモン,A-O=N-000008,ポンチョを着たピカチュウ(黒レックウザ) PSA10,RankSS,948000
ポケモン,A-O=N-000009,ポンチョを着たピカチュウ(レックウザ) PSA10,RankSS,928000
ポケモン,A-O=N-000010,コイキングごっこピカチュウ PSA10,RankSS,848000
ポケモン,A-O=N-000011,ギャラドスごっこピカチュウ PSA10,RankSS,828000
ポケモン,A-O=N-000012,リザードンVMAX(HR仕様) PSA10,RankSS,998000
ポケモン,A-O=N-000013,リザードンGX PSA10,RankS,28000
ポケモン,A-O=N-000014,リザードンV PSA10（プロモ）,RankSS,218000
ポケモン,A-O=N-000015,リザードンV PSA10,RankS,18000
ポケモン,A-O=N-000016,ブラッキーVMAX PSA10（PROMO）,RankSS,478000
ポケモン,A-O=N-000017,サンダースVMAX PSA10 ,RankSS,628000
ポケモン,A-O=N-000018,イーブイ（ムンク） PSA10 ,RankSS,228000
ポケモン,A-O=N-000019,イーブイヒーローズ イーブイズセット 1BOX ,RankSS,218000
ポケモン,A-O=N-000020,ニンフィアGX PSA10 ,RankSS,208000
ポケモン,A-O=N-000021,ニンフィアVMAX PSA10 ,RankSS,168000
ポケモン,A-O=N-000022,ブラッキーGX SSR PSA10 ,RankSS,128000
ポケモン,A-O=N-000023,リーリエ PSA10 ,RankSS,2500000
ポケモン,A-O=N-000024,ミュウツーGX PSA10 ,RankSS,1750000
ポケモン,A-O=N-000025,マリオピカチュウ PSA10 ,RankSS,1580000
ポケモン,A-O=N-000026,ルイージピカチュウ PSA10 ,RankSS,998000
ポケモン,A-O=N-000027,N PSA10 ,RankSS,288000
ポケモン,A-O=N-000028,ナンジャモ SAR PSA10 ,RankSS,128000
ポケモン,A-O=N-000029,ピッピ PSA10 ,RankSS,94800
ポケモン,A-O=N-000030,コイキング&ホエルオー SR PSA10 ,RankSS,47800
ポケモン,A-O=N-000031,カリンの信念 PSA10 ,RankS,10000
ポケモン,A-O=N-000032,オドリドリ PSA10 ,RankS,7000
ポケモン,A-O=N-000033,ドータクン PSA10 ,RankS,7000
ポケモン,A-O=N-000034,キュワワー PSA10 ,RankS,6500
ポケモン,A-O=N-000035,ヤドン PSA10 ,RankS,6500
ポケモン,A-O=N-000036,ニドキング PSA10 ,RankS,6500
ポケモン,A-O=N-000037,ウインディex PSA10 ,RankS,6500
ポケモン,A-O=N-000038,ゼルネアスEX(25th) PSA10 ,RankS,6500
ポケモン,A-O=N-000039,ポチエナ PSA10 ,RankS,6080
ポケモン,A-O=N-000040,ヘラクロス PSA10 ,RankS,6080
ポケモン,A-O=N-000041,ニンフィアGX PSA10 ,RankSS,208000
ポケモン,A-O=N-000042,ナンジャモ PSA10（SAR）,RankS,28000
ポケモン,A-O=N-000043,ブラッキーV PSA10 ,RankS,54800
ポケモン,A-O=N-000044,ピカチュウex PSA10 ,RankS,49800
ポケモン,A-O=N-000045,ルチアのアピール PSA10 ,RankS,47800
ポケモン,A-O=N-000046,セレナ PSA10 ,RankS,29800
ポケモン,A-O=N-000047,グレイシア PSA10 ,RankS,29800
ポケモン,A-O=N-000048,アセロラの予感 PSA10 ,RankS,27800
ポケモン,A-O=N-000049,リーリエのピッピex PSA10 ,RankS,12800
ポケモン,A-O=N-000050,ブラッキーGX HR PSA10 ,RankS,94800
ポケモン,A-O=N-000051,こくばバドレックスVMAX PSA10 ,RankS,79800
ポケモン,A-O=N-000052,シロナのガブリアスex PSA10 ,RankS,54800
ポケモン,A-O=N-000053,サンダース PSA10 ,RankS,52800
ポケモン,A-O=N-000054,ピカチュウ PSA10（プロモ）,RankS,45800
ポケモン,A-O=N-000055,紳士風のピカチュウ PSA10 ,RankS,45800
ポケモン,A-O=N-000056,ヒビキのホウオウex PSA10 ,RankS,45800
ポケモン,A-O=N-000057,バシャーモVMAX PSA10 ,RankS,42800
ポケモン,A-O=N-000058,サーナイトEX(RR) PSA10 ,RankS,42800
ポケモン,A-O=N-000059,いちげきウーラオスVMAX PSA10 ,RankS,39800
