カテゴリー名,新コード,商品名,ランク,交換ポイント
リザードン祭盤,CZ-F001,リザードンVMAX(HR仕様) PSA10,RankSS,120000
リザードン祭盤,CZ-F002,ブラッキーGX HR PSA10,RankSS,95000
リザードン祭盤,CZ-F003,ナンジャモのハラバリーex PSA10,RankSS,85000
リザードン祭盤,CZ-F004,ホワイトコレクション 1パック,RankSS,75000
リザードン祭盤,CZ-F005,オリジンパルキアV(SA),RankSS,65000
リザードン祭盤,CZ-F006,イーブイ（SM8b）,RankSS,55000
リザードン祭盤,CZ-F007,リザードンGX PSA10,RankS,45000
リザードン祭盤,CZ-F008,こくばバドレックスVMAX PSA10,RankS,38000
リザードン祭盤,CZ-F009,コイキング&ホエルオーGX PSA10,RankS,32000
リザードン祭盤,CZ-F010,ファントムゲート 1パック,RankS,28000
リザードン祭盤,CZ-F011,カプ・テテフGX(25th) PSA10,RankS,25000
リザードン祭盤,CZ-F012,リーリエのピッピ人形 UR,RankS,22000
リザードン祭盤,CZ-F013,リザードンV PSA10（プロモ）,RankS,18000
リザードン祭盤,CZ-F014,シロナのガブリアスex PSA10,RankS,15000
リザードン祭盤,CZ-F015,ポンチョを着たピカチュウ PSA10,RankS,12000
リザードン祭盤,CZ-F016,フュージョンアーツ 1BOX,RankS,10000
リザードン祭盤,CZ-F017,キュウコン PSA10,RankS,8000
リザードン祭盤,CZ-F018,エンテイV SAR,RankS,7000
リザードン祭盤,CZ-F019,リザードンV PSA10,RankS,6000
リザードン祭盤,CZ-F020,ブラッキーV PSA10,RankS,5500
リザードン祭盤,CZ-F021,紳士風のピカチュウ PSA10,RankS,5000
リザードン祭盤,CZ-F022,「ポケモンカード151」 1BOX,RankS,4500
リザードン祭盤,CZ-F023,ヤレユータン PSA10,RankS,4000
リザードン祭盤,CZ-F024,タケシのガッツ SR,RankS,3500
リザードン祭盤,CZ-F025,サンダース PSA10,RankA,8000
リザードン祭盤,CZ-F026,ピカチュウ PSA10（プロモ）,RankA,6000
リザードン祭盤,CZ-F027,サイコドライブ 1パック,RankA,5500
リザードン祭盤,CZ-F028,オドシシ PSA10,RankA,5000
リザードン祭盤,CZ-F029,ポケモンだいすきクラブ SR,RankA,4500
リザードン祭盤,CZ-F030,TVレポーター PSA10,RankA,4000
リザードン祭盤,CZ-F031,漆黒のガイスト 1BOX,RankA,3800
リザードン祭盤,CZ-F032,エーテル財団職員,RankA,3500
リザードン祭盤,CZ-F033,ゲンガー＆ミミッキュGX RR,RankA,3200
リザードン祭盤,CZ-F034,エリカのおもてなし PSA10（PROMO）,RankA,3000
リザードン祭盤,CZ-F035,プラズマゲイル 1パック,RankA,2800
リザードン祭盤,CZ-F036,デデンネex PSA10,RankA,2500
リザードン祭盤,CZ-F037,カラカラ（マスターボールミラー）,RankA,2200
リザードン祭盤,CZ-F038,ブラッキー(マスターボールミラー) PSA10,RankB,3000
リザードン祭盤,CZ-F039,パラダイムトリガー 1BOX,RankB,2800
リザードン祭盤,CZ-F040,レックウザVMAX,RankB,2500
リザードン祭盤,CZ-F041,カトレア HR,RankB,2200
リザードン祭盤,CZ-F042,マオ&スイレン PSA10,RankB,2000
リザードン祭盤,CZ-F043,クレイバースト 1BOX,RankB,1800
リザードン祭盤,CZ-F044,コイキング(classic) PSA10,RankB,1600
リザードン祭盤,CZ-F045,メロコ SAR,RankB,1400
リザードン祭盤,CZ-F046,クララ PSA10,RankB,1200
リザードン祭盤,CZ-F047,シャイニートレジャーex 1BOX,RankB,1000
リザードン祭盤,CZ-F048,オンバーンV,RankB,800
リザードン祭盤,CZ-F049,ルカリオVSTAR SAR,RankB,600
リザードン祭盤,CZ-F050,フシギダネ C,RankC,300
リザードン祭盤,CZ-F051,ヒトカゲ C,RankC,280
リザードン祭盤,CZ-F052,ゼニガメ C,RankC,250
リザードン祭盤,CZ-F053,ピカチュウ C,RankC,200
リザードン祭盤,CZ-F054,イーブイ C,RankC,180
リザードン祭盤,CZ-F055,コイル C,RankC,150
リザードン祭盤,CZ-F056,ポッポ C,RankC,120
リザードン祭盤,CZ-F057,キャタピー C,RankC,100
リザードン祭盤,CZ-F058,ビードル C,RankC,80
リザードン祭盤,CZ-F059,コラッタ C,RankC,50
