カテゴリー名,新コード,商品名,ランク,交換ポイント
リーリエ×マリオピカチュウ,LM-P001,リーリエ PSA10,RankSS,200000
リーリエ×マリオピカチュウ,LM-P002,コイキング&ホエルオーGX PSA10,RankSS,150000
リーリエ×マリオピカチュウ,LM-P003,ホワイトコレクション 1パック,RankSS,120000
リーリエ×マリオピカチュウ,LM-P004,ピカチュウex（UR）,RankSS,100000
リーリエ×マリオピカチュウ,LM-P005,ひかるコイキング(25th),RankSS,80000
リーリエ×マリオピカチュウ,LM-P006,ミュウツーGX PSA10,RankS,65000
リーリエ×マリオピカチュウ,LM-P007,TVレポーター PSA10,RankS,55000
リーリエ×マリオピカチュウ,LM-P008,ブラックコレクション 1パック,RankS,50000
リーリエ×マリオピカチュウ,LM-P009,モクロー&アローラナッシーGX（SA）,RankS,45000
リーリエ×マリオピカチュウ,LM-P010,ライチュウ（マスターボールミラー）,RankS,40000
リーリエ×マリオピカチュウ,LM-P011,マリオピカチュウ PSA10,RankS,38000
リーリエ×マリオピカチュウ,LM-P012,サーナイトEX(RR) PSA10,RankS,35000
リーリエ×マリオピカチュウ,LM-P013,メガヤミラミ＆バンギラスGX PSA10,RankS,32000
リーリエ×マリオピカチュウ,LM-P014,ゼクロム25th PSA10,RankS,28000
リーリエ×マリオピカチュウ,LM-P015,ミラクルツイン 2パック,RankS,25000
リーリエ×マリオピカチュウ,LM-P016,ルイージピカチュウ PSA10,RankS,22000
リーリエ×マリオピカチュウ,LM-P017,サトシのピカチュウ(アローラキャップver) PSA10,RankS,20000
リーリエ×マリオピカチュウ,LM-P018,ピカチュウex(UR) PSA10,RankS,18000
リーリエ×マリオピカチュウ,LM-P019,ウインディ（マスターボールミラー）,RankS,15000
リーリエ×マリオピカチュウ,LM-P020,グズマ SR,RankS,12000
リーリエ×マリオピカチュウ,LM-P021,N PSA10,RankA,25000
リーリエ×マリオピカチュウ,LM-P022,ピカチュウ ハス持ち PSA10,RankA,18000
リーリエ×マリオピカチュウ,LM-P023,イーブイGX PSA10,RankA,15000
リーリエ×マリオピカチュウ,LM-P024,蒼空ストリーム 2パック,RankA,12000
リーリエ×マリオピカチュウ,LM-P025,パラス（マスターボールミラー）,RankA,10000
リーリエ×マリオピカチュウ,LM-P026,ナンジャモ SAR PSA10,RankA,8000
リーリエ×マリオピカチュウ,LM-P027,いちげきウーラオスVMAX PSA10,RankA,7000
リーリエ×マリオピカチュウ,LM-P028,ヘイルブリザード 1パック,RankA,6000
リーリエ×マリオピカチュウ,LM-P029,ワタッコ PSA10,RankA,5000
リーリエ×マリオピカチュウ,LM-P030,カミツオロチex SAR,RankA,4500
リーリエ×マリオピカチュウ,LM-P031,ピッピ PSA10,RankA,4000
リーリエ×マリオピカチュウ,LM-P032,マリィのプライド PSA10,RankA,3800
リーリエ×マリオピカチュウ,LM-P033,ホップのザシアンex PSA10,RankA,3500
リーリエ×マリオピカチュウ,LM-P034,アブソル PSA10,RankA,3200
リーリエ×マリオピカチュウ,LM-P035,シトロンの機転 SAR,RankA,3000
リーリエ×マリオピカチュウ,LM-P036,コイキング&ホエルオー SR PSA10,RankB,8000
リーリエ×マリオピカチュウ,LM-P037,クララ PSA10,RankB,6000
リーリエ×マリオピカチュウ,LM-P038,フシギバナ＆ツタージャGX(SA) PSA10,RankB,5500
リーリエ×マリオピカチュウ,LM-P039,メリープ PSA10,RankB,5000
リーリエ×マリオピカチュウ,LM-P040,コオリッポex SAR,RankB,4500
リーリエ×マリオピカチュウ,LM-P041,ブースターV PSA10,RankB,4000
リーリエ×マリオピカチュウ,LM-P042,スペースジャグラー 1BOX,RankB,3500
リーリエ×マリオピカチュウ,LM-P043,ダークライVSTAR PSA10,RankB,3000
リーリエ×マリオピカチュウ,LM-P044,メタルソーサー UR,RankB,2500
リーリエ×マリオピカチュウ,LM-P045,ニンフィアex PSA10,RankC,3000
リーリエ×マリオピカチュウ,LM-P046,蒼空ストリーム 5パック,RankC,2500
リーリエ×マリオピカチュウ,LM-P047,レントラーGL Lv.X（25th） PSA10,RankC,2000
リーリエ×マリオピカチュウ,LM-P048,双璧のファイター 1パック,RankC,1500
リーリエ×マリオピカチュウ,LM-P049,フシギダネ C,RankC,500
リーリエ×マリオピカチュウ,LM-P050,ヒトカゲ C,RankC,480
リーリエ×マリオピカチュウ,LM-P051,ゼニガメ C,RankC,450
リーリエ×マリオピカチュウ,LM-P052,ピカチュウ C,RankC,400
リーリエ×マリオピカチュウ,LM-P053,イーブイ C,RankC,350
リーリエ×マリオピカチュウ,LM-P054,コイル C,RankC,300
リーリエ×マリオピカチュウ,LM-P055,ポッポ C,RankC,250
リーリエ×マリオピカチュウ,LM-P056,キャタピー C,RankC,200
リーリエ×マリオピカチュウ,LM-P057,ビードル C,RankC,150
リーリエ×マリオピカチュウ,LM-P058,コラッタ C,RankC,100
