カード名,商品コード,レアリティ,還元pt,カード画像URL,ローカル画像パス
リーリエ(エクバ) PSA10,PK-0001,プロモカード,7260000.0,https://drive.google.com/file/d/1aDnm273siUfO2knha-hFXyPREFBH7FSF/view?usp=sharing,/Users/kotarokashiwai/pokeca/images/card_64385.webp
リーリエ(エクバ),PK-0002,プロモカード,5550000.0,https://drive.google.com/file/d/1aDnm273siUfO2knha-hFXyPREFBH7FSF/view?usp=sharing,/Users/kotarokashiwai/pokeca/images/card_00282.webp
アセロラ(エクバ) PSA10,PK-0003,プロモカード,2780000.0,https://drive.google.com/file/d/15RRHmCOJc3xtunSzS0UJDeJsYcL2aMCh/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00003.webp
リーリエ PSA10,PK-0004,その他,2580000.0,https://drive.google.com/file/d/1vxJf8wSZ9Tt510hYJ2DKKq5Gc8ugo1Na/view?usp=sharing,/Users/kotarokashiwai/pokeca/images/card_01285.webp
ロケット団参上！ PSA10,PK-0005,プロモカード,2580000.0,https://drive.google.com/file/d/13ExjzLIXS7C5ec0BLDjcWIg_0T2ZkT5c/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ロケット団参上_1.jpg
ピカチュウ(20thアニバーサリー) PSA10,PK-0006,その他,1760000.0,https://drive.google.com/file/d/1EivLhCdYWJsjIFCE2x91gpcs-fFytdIn/view?usp=sharing,/Users/kotarokashiwai/pokeca/images/card_00006.webp
ミュウツーGX PSA10,PK-0007,プロモカード,1750000.0,https://drive.google.com/file/d/15MelHAJLE5hjetynRB6QzguZUtTcBrpt/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02915.webp
マリオピカチュウ PSA10,PK-0008,プロモカード,1580000.0,https://drive.google.com/file/d/1TDbAXy764FNTwYz08SGwiHIFCa_TRKJk/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/マリオピカチュウ.jpg
アセロラ（エクバ）,PK-0009,プロモカード,1580000.0,https://drive.google.com/file/d/1er3qlR8wcV-Yqz-DYP3eO23RWGakbCYg/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/アセロラの予感.jpg
ポンチョを着たピカチュウ(黒リザ) PSA10,PK-0010,その他,1380000.0,https://drive.google.com/file/d/1vB2EzHE6oFYvDFxkfZVMwpaNrq7ltAry/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ポンチョを着たピカチュウ.jpg
『マリオピカチュウ』スペシャルBOX,PK-0011,その他,1280000.0,https://drive.google.com/file/d/1KhIeWdOswfPie_v80VkC18c-oq5OTJJF/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01156.webp
リーリエ(帽子) PSA10,PK-0012,その他,1180000.0,https://drive.google.com/file/d/1vxJf8wSZ9Tt510hYJ2DKKq5Gc8ugo1Na/view?usp=sharing,/Users/kotarokashiwai/pokeca/images/card_00012.webp
夏ポケカ(スペシャルアート3枚セット),PK-0013,その他,1180000.0,https://drive.google.com/file/d/18q0GPgXZriDAcZIFcxTN6bxcBmBY0p4L/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01790.webp
ピカチュウ(20thアニバーサリー),PK-0014,プロモカード,1088000.0,https://drive.google.com/file/d/1TzG914LVlBt6N5HYmDt6IJW3EYxHKOH3/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01411.webp
アセロラ PSA10,PK-0015,SR,1080000.0,https://drive.google.com/file/d/15RRHmCOJc3xtunSzS0UJDeJsYcL2aMCh/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_63505.webp
ポンチョを着たピカチュウ(リザ) PSA10,PK-0016,その他,1080000.0,https://drive.google.com/file/d/1oLnxOXC82YPxAA3Skjb6QrrQ0Bj0sOdA/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ポンチョを着たピカチュウ.jpg
リザードンVMAX(HR仕様) PSA10,PK-0017,その他,998000.0,https://drive.google.com/file/d/1HkI-Jv8cF-DDjGE-KHWqF8ZmY2qJT1hG/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01726.webp
ルイージピカチュウ PSA10,PK-0018,プロモカード,998000.0,https://drive.google.com/file/d/1R-CZkPMx_WUXsWiPbbFmLQrrJpBWf8RQ/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ルイージピカチュウ_1.jpg
ポンチョを着たピカチュウ(黒レックウザ) PSA10,PK-0019,プロモカード,948000.0,https://drive.google.com/file/d/15OqPfj51FN3ntM6EuT_6OOJnX-w3Ok4t/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ポンチョを着たピカチュウ.jpg
ポンチョを着たピカチュウ(レックウザ) PSA10,PK-0020,その他,928000.0,https://drive.google.com/file/d/16xQSm9ipepEic5PeTmgpcZMHkLsvpy8n/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ポンチョを着たピカチュウ.jpg
ピカチュウ＆ゼクロムGX(クリーチャーズ25周年記念) PSA10,PK-0021,その他,898000.0,https://drive.google.com/file/d/1BnXXQCCpsq6_toafP1hqSIWkcIMndEqf/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00021.webp
リーリエ,PK-0022,SR,898000.0,https://drive.google.com/file/d/1vxJf8wSZ9Tt510hYJ2DKKq5Gc8ugo1Na/view?usp=sharing,/Users/kotarokashiwai/pokeca/renamed_sample/リーリエのしんじゆ.webp
コイキングごっこピカチュウ PSA10,PK-0023,その他,848000.0,https://drive.google.com/file/d/1snBF5zrnGKtUhKaEkb1toCyZlYdM-L7o/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/団ごっこピカチュウ.jpg
ギャラドスごっこピカチュウ PSA10,PK-0024,その他,828000.0,https://drive.google.com/file/d/196gzVFpgTtSDLUjCpeFnUmMEWqB4n0H_/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/団ごっこピカチュウ.jpg
ミミッキュ(ムンク) PSA10,PK-0025,その他,778000.0,https://drive.google.com/file/d/1suXZxQ_MKVHYcjsHeUhrYe2ROYU0Z0VT/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02446.webp
シャワーズVMAX PSA10,PK-0026,その他,728000.0,https://drive.google.com/file/d/184J39yx3FGVlHtG217obB99uSOJ9W-oW/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02692.webp
リザードンVMAX(HR仕様),PK-0027,プロモカード,718000.0,https://drive.google.com/file/d/1dcO2ejkJIxKo7x7M-CjHagAw_C1pkjsh/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00027.webp
アセロラ,PK-0028,SR,678000.0,https://drive.google.com/file/d/11SU7me3ezCYYdjqynhtl4ZRshnRt3AsA/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/アセロラの予感.jpg
ピカチュウ(ムンク) PSA10,PK-0029,その他,648000.0,https://drive.google.com/file/d/1FH5GOgs-KReqlv1XGUPqhz1Uc5VYXqks/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02917.webp
オカルトマニア PSA10,PK-0030,その他,648000.0,https://drive.google.com/file/d/1OBA7ZPP-b5UqYYndmZtKKgX2VYTknPjd/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/オカルトマニア_1.jpg
リーリエ(帽子),PK-0031,SR,648000.0,https://drive.google.com/file/d/1cDR-ukp1I4a9eU-Qa-UheajwhLr9MkIc/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_13257.webp
アローラの仲間たち PSA10,PK-0032,その他,628000.0,https://drive.google.com/file/d/1SkCOdRiSzb4krXIk2xNLXYn6BtOLwvn5/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/アローラの仲間たち.jpg
サンダースVMAX PSA10,PK-0033,その他,628000.0,https://drive.google.com/file/d/1odC_e4oWOS6LaX4r5LaiTiPjZUuR9BST/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00033.webp
THE BEST OF XY 1BOX,PK-0034,その他,598000.0,https://drive.google.com/file/d/1eI_UJ8WSyoY36hA8kDAuI-obuXCcC74x/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_53019.webp
ミミッキュ(ムンク) 【未開封】,PK-0035,その他,598000.0,https://drive.google.com/file/d/1IAYV0fe2HuAe5-aaIwvBnXbQu-v7BKuG/view?usp=sharing,/Users/kotarokashiwai/pokeca/images/card_03528.webp
ブースターVMAX PSA10,PK-0036,その他,578000.0,https://drive.google.com/file/d/1ZjTyLCP6_O2eqP3C9itIN8X67r9js840/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_11840.webp
サナ PSA10,PK-0037,その他,578000.0,https://drive.google.com/file/d/1XpZoIdPZaZhTkywC0N6DZ3140OIFgr8f/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01513.webp
スカル団ごっこピカチュウ PSA10,PK-0038,その他,548000.0,https://drive.google.com/file/d/1R8EgbPQY3ts87JrT9q6Rx91tC0iaW2Nt/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/団ごっこピカチュウ.jpg
新たなる試練の向こう 1BOX,PK-0039,その他,548000.0,https://drive.google.com/file/d/19cT99ztO-_siL8H6JkWIuqktS3lDaMw3/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00039.webp
レッドコレクション 1BOX,PK-0040,その他,526000.0,https://drive.google.com/file/d/1_0mMfyJ9szqY2pZfH6XJdCrfIAe0VNfq/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_52171.webp
20th Anniversary 1BOX,PK-0041,その他,520800.0,https://drive.google.com/file/d/1GkP0hHGiUFh7mEhfLWSdxFIsvOvo2BZY/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_04174.jpg
コレクションムーン 1BOX,PK-0042,その他,520000.0,https://drive.google.com/file/d/11GVYCRcwtO40jgWgcdmdAWGLhQu1h_Mj/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00042.webp
リミテッドコレクション マスターバトルセット,PK-0043,その他,485800.0,https://drive.google.com/file/d/1KMotIqtxoT4HWea-iVnSRuCFKf0DGyFW/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01840.webp
ブラッキーVMAX PSA10,PK-0044,その他,478000.0,https://drive.google.com/file/d/1kbciEvYwDM5UFEoEzbt3P0KaUeiuooPW/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_06107.jpg
ワイルドブレイズ 1BOX,PK-0045,その他,468000.0,https://drive.google.com/file/d/1lR6HA4K_PmymTEZbGMhzZfeExqlDrZ7z/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00045.webp
レックウザVMAX(SA) PSA10,PK-0046,その他,458000.0,https://drive.google.com/file/d/1sFBNjkC1pgAvR_CzNiTUojWKtsW-TUn9/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00752.webp
オカルトマニア,PK-0047,その他,458000.0,https://drive.google.com/file/d/1eVkgV4MEr93584rCmk_bzLP2So_kRuX1/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/オカルトマニア.jpg
ラティアス&ラティオスGX PSA10,PK-0048,その他,428000.0,https://drive.google.com/file/d/1anySJZylJLRqdzPdQIBfv9PPLo2h-nPy/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00048.webp
ゼクロムGX PSA10,PK-0049,その他,428000.0,https://drive.google.com/file/d/1nPKNxBA5m3ZxFBH1X8SeOXeGR7WkK7Na/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02295.webp
エメラルドブレイク 1BOX,PK-0050,その他,420000.0,https://drive.google.com/file/d/1waoJXF--EZge_x_WRWlCDccsyNvUREE_/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_05026.jpg
アイリス PSA10,PK-0051,その他,398000.0,https://drive.google.com/file/d/1-25OaEmRhZ9BDTfioRQZGreai0MAoBuZ/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/アイリスの闘志_1.webp
サンダースVMAX,PK-0052,プロモカード,398000.0,https://drive.google.com/file/d/1jmi_xeAfREdDYiTx0KM5KWR8HvgebjfN/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/サンダース.webp
ブラッキーVMAX,PK-0053,HR,378000.0,https://drive.google.com/file/d/1om9KIGCNr-upPh19S4RrXiFaTRw2e295/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ブラッキー.webp
ルザミーネ(黒) PSA10,PK-0054,その他,378000.0,https://drive.google.com/file/d/1OBV9OAqjtaGIZuKrJDbVVVfu31vfjeYn/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00054.webp
ルチア PSA10,PK-0055,その他,368000.0,https://drive.google.com/file/d/1seMAr8Bya607L42UciaC1qSnKiGcy8hP/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_52872.webp
レックウザVMAX,PK-0056,HR,368000.0,https://drive.google.com/file/d/1PyN6lXRi8ZmpdulxYC7v0nWWXgHO-3_o/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/レックウザ.jpg
ピカチュウ(ムンク),PK-0057,プロモカード,360800.0,https://drive.google.com/file/d/13cWnyWThrZOUTnRTBCQP7O0aMkS_kogF/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ピカチュウ.jpg
こわいおねえさん PSA10,PK-0058,その他,358000.0,https://drive.google.com/file/d/1snVElXioFhPHbYnc8go4dclkIzRuHh5Z/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/こわいおねえさん_1.jpg
カリン PSA10,PK-0059,SR,358000.0,https://drive.google.com/file/d/1XZEKoIorCILnUIUiEeJQzfg7MlDSwGtd/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_05988.webp
闘う虹を見たか 1BOX,PK-0060,その他,340000.0,https://drive.google.com/file/d/1237SOXMiQKOniVRPbjczVl6omKW6qKIe/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00060.webp
アローラの仲間たち,PK-0061,プロモカード,328000.0,https://drive.google.com/file/d/18soeW3uumLTwusju5POijcH8hvjC_OWQ/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/アローラの仲間たち.jpg
コダック(ムンク) PSA10,PK-0062,プロモカード,328000.0,https://drive.google.com/file/d/1tQj8uCGiF498RQKpRf4FqJV5QZ2s1wsy/view?usp=sharing,/Users/kotarokashiwai/pokeca/images/card_06250.jpg
リザードンEX PSA10,PK-0063,プロモカード,318000.0,https://drive.google.com/file/d/1LccGXvDLXmsIgHtixyCqCO_TcxVhcBZk/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00063.webp
ピカチュウ(バトルフェスタ2014) PSA10,PK-0064,その他,298000.0,https://drive.google.com/file/d/17oDOtoyi6HiLFIffrAtWC7y0-3Kh23Ft/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00617.webp
ピカチュウ＆ゼクロムGX PSA10,PK-0065,その他,298000.0,https://drive.google.com/file/d/1rU1gjGlpjl1D_1vPrKj0QnSe-GegtChO/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_05227.webp
リザードンGX(HR) PSA10,PK-0066,HR,298000.0,https://drive.google.com/file/d/1JRESmOPuKJbT_5BcVVtfEeqX13W_9R5Q/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00066.webp
サナ,PK-0067,SR,288000.0,https://drive.google.com/file/d/1IuPt6eqxer5PNyiMWeYCi36YFUNEB5-d/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01621.webp
N PSA10,PK-0068,SR,288000.0,https://drive.google.com/file/d/1qbDpRP16p5Txym_cuulQ-WwLI6vMRPRH/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_52434.webp
ピカチュウEX PSA10,PK-0069,SR,278000.0,https://drive.google.com/file/d/1uhZdESQYqGBvfX-tnlFJWvPJpcfDzvJs/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00069.webp
