カテゴリー名,新コード,商品名,ランク,交換ポイント
ナンジャモ大量発生,NJ-T001,ナンジャモ SAR PSA10,RankSS,80000
ナンジャモ大量発生,NJ-T002,ナンジャモSR PSA10,RankSS,45000
ナンジャモ大量発生,NJ-T003,サナ SR PSA10,RankSS,38000
ナンジャモ大量発生,NJ-T004,クララSR PSA10,RankSS,35000
ナンジャモ大量発生,NJ-T005,カトレアSR PSA10,RankSS,32000
ナンジャモ大量発生,NJ-T006,エリカの招待SR PSA10,RankSS,30000
ナンジャモ大量発生,NJ-T007,カリンの信念 PSA10,RankS,12000
ナンジャモ大量発生,NJ-T008,オドリドリ PSA10,RankS,8000
ナンジャモ大量発生,NJ-T009,ドータクン PSA10,RankS,7500
ナンジャモ大量発生,NJ-T010,キュワワー PSA10,RankS,7000
ナンジャモ大量発生,NJ-T011,ヤドン PSA10,RankS,6500
ナンジャモ大量発生,NJ-T012,ニドキング PSA10,RankS,6000
ナンジャモ大量発生,NJ-T013,ウインディex PSA10,RankS,5500
ナンジャモ大量発生,NJ-T014,ゼルネアスEX(25th) PSA10,RankS,5000
ナンジャモ大量発生,NJ-T015,ポチエナ PSA10,RankS,4500
ナンジャモ大量発生,NJ-T016,ヘラクロス PSA10,RankS,4000
ナンジャモ大量発生,NJ-T017,スノーハザード BOX,RankA,7000
ナンジャモ大量発生,NJ-T018,未来の一閃 BOX,RankA,6800
ナンジャモ大量発生,NJ-T019,古代の咆哮 BOX,RankA,6500
ナンジャモ大量発生,NJ-T020,黒炎の支配者 BOX,RankA,6200
ナンジャモ大量発生,NJ-T021,白熱のアルカナ BOX,RankA,6000
ナンジャモ大量発生,NJ-T022,シャイニートレジャー BOX,RankA,5800
ナンジャモ大量発生,NJ-T023,強化拡張パック バトルリージョン,RankA,3500
ナンジャモ大量発生,NJ-T024,漆黒のガイスト BOX,RankA,5500
ナンジャモ大量発生,NJ-T025,蒼空ストリーム BOX,RankA,5200
ナンジャモ大量発生,NJ-T026,仰天のボルテッカー BOX,RankA,5000
ナンジャモ大量発生,NJ-T027,テツノカシラex SAR,RankB,3000
ナンジャモ大量発生,NJ-T028,パッチラゴンV SR,RankB,2800
ナンジャモ大量発生,NJ-T029,テツノカイナex SAR,RankB,2600
ナンジャモ大量発生,NJ-T030,シェイミVSTAR HR,RankB,2400
ナンジャモ大量発生,NJ-T031,ブラックキュレムex SR,RankB,2200
ナンジャモ大量発生,NJ-T032,レックウザV(RR仕様) プロモカード,RankB,2000
ナンジャモ大量発生,NJ-T033,モココ CHR,RankB,1800
ナンジャモ大量発生,NJ-T034,キングドラex SR,RankB,1600
ナンジャモ大量発生,NJ-T035,かがやくフシギバナ K,RankB,1400
ナンジャモ大量発生,NJ-T036,ハッサム AR,RankB,1200
ナンジャモ大量発生,NJ-T037,マッギョ AR,RankC,800
ナンジャモ大量発生,NJ-T038,ロケット団エネルギー UC,RankC,600
ナンジャモ大量発生,NJ-T039,キョジオーン S,RankC,500
ナンジャモ大量発生,NJ-T040,プクリン S,RankC,400
ナンジャモ大量発生,NJ-T041,シロナのパワーウエイト UC,RankC,350
ナンジャモ大量発生,NJ-T042,ビーダル AR,RankC,300
ナンジャモ大量発生,NJ-T043,メグロコ AR,RankC,280
ナンジャモ大量発生,NJ-T044,バシャーモ R,RankC,250
ナンジャモ大量発生,NJ-T045,れんげきウーラオスVMAX RRR,RankC,200
ナンジャモ大量発生,NJ-T046,古びたねっこの化石 C,RankC,150
ナンジャモ大量発生,NJ-T047,かがやくルチャブル K,RankD,120
ナンジャモ大量発生,NJ-T048,レシラムV RR,RankD,100
ナンジャモ大量発生,NJ-T049,テツノカイナex RR,RankD,80
ナンジャモ大量発生,NJ-T050,エンテイ R,RankD,70
ナンジャモ大量発生,NJ-T051,ディンルーex RR,RankD,60
ナンジャモ大量発生,NJ-T052,ガラルファイヤーV RR,RankD,50
ナンジャモ大量発生,NJ-T053,チラーミィ C,RankD,40
ナンジャモ大量発生,NJ-T054,ビクティニ C,RankD,30
ナンジャモ大量発生,NJ-T055,サマヨール C,RankD,25
ナンジャモ大量発生,NJ-T056,フラエッテ C,RankD,20
