カテゴリー名,新コード,商品名,ランク,交換ポイント
ピカチュウ大祭り,PK-M001,ポンチョを着たピカチュウ(黒リザ) PSA10,RankSS,50000
ピカチュウ大祭り,PK-M002,ニンフィアGX PSA10,RankSS,35000
ピカチュウ大祭り,PK-M003,レイジングサーフ BOX,RankS,8000
ピカチュウ大祭り,PK-M004,ミュウツーVSTAR,RankS,5000
ピカチュウ大祭り,PK-M005,ラティアス,RankA,3000
ピカチュウ大祭り,PK-M006,ポンチョを着たピカチュウ(黒レックウザ) PSA10,RankSS,48000
ピカチュウ大祭り,PK-M007,ナンジャモ PSA10（SAR）,RankSS,40000
ピカチュウ大祭り,PK-M008,熱風のアリーナ BOX,RankS,7500
ピカチュウ大祭り,PK-M009,ゼロの大空洞,RankS,4500
ピカチュウ大祭り,PK-M010,デオキシス,RankA,2800
ピカチュウ大祭り,PK-M011,ポンチョを着たピカチュウ(レックウザ) PSA10,RankSS,45000
ピカチュウ大祭り,PK-M012,ブラッキーV PSA10,RankSS,32000
ピカチュウ大祭り,PK-M013,クリムゾンヘイズ BOX,RankS,7000
ピカチュウ大祭り,PK-M014,キングラー(マスターボールミラー),RankS,4000
ピカチュウ大祭り,PK-M015,アルセウスV,RankA,2500
ピカチュウ大祭り,PK-M016,コイキングごっこピカチュウ PSA10,RankSS,38000
ピカチュウ大祭り,PK-M017,ピカチュウex PSA10,RankSS,30000
ピカチュウ大祭り,PK-M018,ワイルドフォース BOX,RankS,6800
ピカチュウ大祭り,PK-M019,ガラルフリーザーV,RankS,3800
ピカチュウ大祭り,PK-M020,デデンネ,RankA,2200
ピカチュウ大祭り,PK-M021,ギャラドスごっこピカチュウ PSA10,RankSS,42000
ピカチュウ大祭り,PK-M022,ルチアのアピール PSA10,RankSS,28000
ピカチュウ大祭り,PK-M023,変幻の仮面 BOX,RankS,6500
ピカチュウ大祭り,PK-M024,オリジンディアルガVSTAR,RankS,3500
ピカチュウ大祭り,PK-M025,プクリンex,RankA,2000
ピカチュウ大祭り,PK-M026,セレナ PSA10,RankSS,25000
ピカチュウ大祭り,PK-M027,ナイトワンダラー BOX,RankS,6200
ピカチュウ大祭り,PK-M028,イダイナキバex,RankS,3200
ピカチュウ大祭り,PK-M029,ラウドボーンex(RR仕様),RankA,1800
ピカチュウ大祭り,PK-M030,グレイシア PSA10,RankSS,22000
ピカチュウ大祭り,PK-M031,ステラミラクル BOX,RankS,5800
ピカチュウ大祭り,PK-M032,ロケット団のラッタ,RankS,3000
ピカチュウ大祭り,PK-M033,ケッキングex,RankA,1500
ピカチュウ大祭り,PK-M034,アセロラの予感 PSA10,RankSS,20000
ピカチュウ大祭り,PK-M035,ピィ,RankB,1200
ピカチュウ大祭り,PK-M036,テツノツツミ,RankB,1000
ピカチュウ大祭り,PK-M037,リーリエのピッピex PSA10,RankSS,18000
ピカチュウ大祭り,PK-M038,はくばバドレックスVMAX,RankB,800
ピカチュウ大祭り,PK-M039,イルカマンex,RankB,600
ピカチュウ大祭り,PK-M040,アクロマの実験,RankB,500
ピカチュウ大祭り,PK-M041,ハッサム,RankB,400
ピカチュウ大祭り,PK-M042,ピカチュウV,RankC,300
ピカチュウ大祭り,PK-M043,イーブイ,RankC,250
ピカチュウ大祭り,PK-M044,フシギダネ,RankC,200
ピカチュウ大祭り,PK-M045,ヒトカゲ,RankC,200
ピカチュウ大祭り,PK-M046,ゼニガメ,RankC,200
ピカチュウ大祭り,PK-M047,ライチュウ,RankC,180
ピカチュウ大祭り,PK-M048,ピカチュウ(基本),RankC,150
ピカチュウ大祭り,PK-M049,コイル,RankC,120
ピカチュウ大祭り,PK-M050,ポッポ,RankC,100
